Designator,Mid X,Mid Y,Layer,Rotation
C1,45,25.9,Top,90
C2,41.05,25.9,Top,270
C3,40.67,22.76,Top,90
C4,45.38,22.75,Top,90
C5,30.1,23.57,Top,180
C6,27.58,19.2,Top,180
C7,32.39,11.92,Top,270
C8,38.35,26.31,Top,90
C9,41.58,19.68,Top,315
C11,42.42,23.4,Top,0
C12,39.55,26.31,Top,90
C14,30.1,24.8,Top,180
C15,28.45,29.45,Top,90
C16,29.68,29.45,Top,90
C17,26.85,25.79,Top,90
C18,28.35,25.79,Top,90
C19,35.25,29.2,Top,270
C20,27.58,17.73,Top,180
C21,27.58,16.32,Top,180
C23,28.15,35.7,Top,270
C24,35.62,37.18,Top,270
C25,43.28,29.15,Top,0
C26,25.32,36.41,Top,90
C27,20.3,23.95,Top,180
C28,13.1,30.57,Top,180
C29,10.08,31.45,Top,0
C30,12.03,16.87,Top,90
C31,13,20.97,Top,90
C32,20.88,17.14,Top,90
C33,13.76,15.37,Top,270
C34,13.46,18.14,Top,270
C35,12.03,14.47,Top,270
C36,29.68,10,Top,90
C37,29.75,35.69,Top,270
C38,28.59,14.52,Top,0
C39,44.46,35.66,Top,90
C40,37.35,35,Top,180
C41,17.08,23.95,Top,0
C43,17.08,25.2,Top,0
C44,17.08,26.44,Top,0
IC1,36,21,Top,270
IC2,39.11,4.77,Top,90
IC3,37.38,11.81,Top,180
IC4,39.7,29.7,Top,270
IC5,17.35,18.16,Top,0
IC6,32.83,36.13,Top,180
IC7,13.09,35.26,Top,90
IC8,41.98,35.63,Top,180
IC9,27.5,10.85,Top,90
J1,30.5,5,Top,0
J6,17.62,9.4,Top,0
J7,5.3,19.19,Top,270
L1,42.41,22.21,Top,0
L2,30.43,27.5,Top,0
L3,27.79,27.62,Top,0
L4,39.65,35.66,Top,90
L6,19.58,35,Top,180
L7,43.4,30.7,Top,180
L8,27.5,12.9,Top,0
R1,9.56,36.99,Top,270
R2,10.08,30.2,Top,180
R3,9.55,34.57,Top,90
R4,20.88,14.75,Top,270
R5,43.1,32.25,Top,0
R6,37.05,28.68,Top,180
R7,42,27.75,Top,180
R8,25.86,14.58,Top,180
R9,37.55,36.41,Top,180
R10,14.68,26.44,Top,0
R12,14.68,25.2,Top,0
R13,14.68,23.94,Top,0
Y1,42.7,25.75,Top,90
Y2,27.6,23.6,Top,0
